# This data is taken from the Supporting Information of
# Johnson et al. (2022)
# "A Controlled Experiment of Surface Albedo Modification to Reduce Ice Melt"
# Published in Earth's Future vol. 10
# https://doi.org/10.1029/2022EF002883
# which was published under a CC BY 4.0 License
# It is a measured size distribution of Potters Sphericel 25P45
# The data is found in the file 2022EF002883-sup-0004-Data Set SI-S03.xlsx
Size [um],Density
0.01,0.0
0.0114,0.0
0.0129,0.0
0.0147,0.0
0.0167,0.0
0.0189,0.0
0.0215,0.0
0.0244,0.0
0.0278,0.0
0.0315,0.0
0.0358,0.0
0.0407,0.0
0.0463,0.0
0.0526,0.0
0.0597,0.0
0.0679,0.0
0.0771,0.0
0.0876,0.0
0.0995,0.0
0.113,0.0
0.128,0.0
0.146,0.0
0.166,0.0
0.188,0.0
0.214,0.0
0.243,0.0
0.276,0.0
0.314,0.0
0.357,0.0
0.405,0.0
0.46,0.0
0.523,0.0
0.594,0.0
0.675,0.0
0.767,0.0
0.872,0.0
0.991,0.0
1.13,0.0
1.28,0.0
1.45,0.0
1.65,0.0
1.88,0.0
2.13,0.0
2.42,0.0
2.75,0.06
3.12,0.07
3.55,0.08
4.03,0.11
4.58,0.16
5.21,0.27
5.92,0.42
6.72,0.64
7.64,0.9
8.68,1.19
9.86,1.48
11.2,1.74
12.7,1.96
14.5,2.12
16.4,2.24
18.7,2.38
21.2,2.61
24.1,3.02
27.4,3.69
31.1,4.65
35.3,5.86
40.1,7.16
45.6,8.34
51.8,9.15
58.9,9.37
66.9,8.87
76.0,7.69
86.4,6.01
98.1,4.13
111.0,2.37
127.0,1.03
144.0,0.25
163,0
186,0
211,0
240,0
272,0
310,0
352,0
400,0
454,0
516,0
586,0
666,0
756,0
859,0
976,0
1110,0
1260,0
1430,0
1630,0
1850,0
2100,0
2390,0
2710,0
3080,0
3500,0
